UserId,FilmId,Rating
1,tt16283264,4
1,tt8736980,9
1,tt12089664,1
1,tt9339812,2
1,tt7862510,3
1,tt7587232,7
1,tt5345014,4
1,tt6710906,10
1,tt6846838,4
2,tt10197984,6
2,tt13161950,10
2,tt27669473,2
2,tt8736980,4
2,tt9339812,5
2,tt32507909,3
2,tt11773814,3
2,tt12502172,3
2,tt8860924,3
2,tt7435104,9
2,tt16283264,6
2,tt5345014,6
2,tt7029544,4
2,tt6019844,3
3,tt27669473,1
3,tt11976162,1
3,tt10706604,8
3,tt32507269,8
3,tt11773814,3
3,tt8860924,2
3,tt7435104,6
3,tt11212494,3
3,tt12089664,10
3,tt6846838,1
3,tt10727144,10
3,tt7587232,3
3,tt6019844,10
4,tt12089664,4
4,tt11212494,5
4,tt10727144,8
4,tt7862510,6
4,tt9339812,5
4,tt10197984,2
4,tt6710906,8
4,tt11976162,5
4,tt10706604,5
5,tt7587232,7
5,tt12502172,8
5,tt11212494,9
5,tt5345014,10
5,tt15767298,8
5,tt7071238,9
5,tt7435104,8
5,tt27669473,5
6,tt7029544,10
6,tt16283264,1
6,tt7071238,3
6,tt10197984,1
6,tt13161950,4
6,tt9339812,7
6,tt12089664,2
6,tt8860924,6
7,tt15767298,6
7,tt7435104,3
7,tt11976162,5
7,tt32507269,8
7,tt16283264,10
7,tt6846838,5
7,tt7587232,8
8,tt6019844,8
8,tt11773814,3
8,tt7983148,3
8,tt12775450,1
8,tt9339812,1
8,tt5345014,9
8,tt7435104,5
8,tt12089664,7
8,tt11534856,4
8,tt15745002,4
8,tt11976162,7
8,tt7587232,9
8,tt15767298,2
8,tt27669473,2
9,tt11534856,6
9,tt7983148,4
9,tt12089664,9
9,tt32507909,3
9,tt9339812,3
9,tt10727144,3
9,tt7587232,6
9,tt12775450,6
9,tt11976162,9
10,tt8860924,9
10,tt13161950,10
10,tt6710906,6
10,tt11212494,3
10,tt6019844,2
10,tt12775450,9
10,tt7435104,9
10,tt7587232,3
10,tt32507909,3
10,tt5345014,2
10,tt10727144,3
10,tt16283264,6
11,tt9339812,3
11,tt32507909,7
11,tt15767298,2
11,tt32507269,1
11,tt5345014,6
11,tt10197984,9
11,tt7862510,7
11,tt11534856,2
11,tt7435104,5
12,tt8736980,7
12,tt13161950,4
